序号,论文题名（取自佐证材料名）,中心内提交人
1,吕泗渔场海鱼异尖线虫感染状况及人群健康教育效果调查,俞盛楠、卢金、张烽、陈未央
2,南通市某职业院校新生艾滋病知识知晓情况调查_张之海,刘毛毛、吴冒璇、张之海、潘少聪
3,Initial study and phylogenetic analysis of hard ticks -publication,孙斌、张之海、潘少聪、苏婧
4,核酸适配体技术在有机污染物检测中的应用进展_谢超,平文卉、杨娟、陈峰
5,1_南通市2018—2022年蜚蠊监测分析_陈宇洁,李媛、翟云鹏、陈宇洁
6,1_南通市医疗机构发热门诊消毒质量监测_李媛 (1),李媛、翟云鹏、陈宇洁
7,2020年江苏省南通市白血...3—2020年变化趋势分析_王宇琦,王宇琦、陈铭睿、黄捷
8,22 2013-2020年江苏省南通地区食管癌发病与死亡趋势及空间聚集性分析,侯晓燕、潘少聪
9,18 2008-2020年南通市疫苗接种安全性分析与评估202210,倪杰、潘少聪
10,2013—2020年江苏省...与死亡趋势及空间聚集性分析_潘少聪,刘毛毛、潘少聪
11,"Impact of water physicochemical properties on the survival of Oncomelania hupensis snails, the intermediate host of Schistosoma japonicum",刘毛毛、潘少聪
12,Chemico-Biological Interactions,吴冒璇、潘少聪
13,江苏省南通市2014-2022年登革热流行特征分析_孙斌,周小毅、孙斌
14,2011—2021年南通市肺结核流行趋势及特征分析_孙晴,孙晴、张荣荣
15,2023.4《探索科学》突发疫情下的微生物快速检测技术应用,张歌行、茅丽婷
16,某肿瘤医院2002—2017年原发小肠癌生存分析,张歌行、茅丽婷
17,The current application and research,戴垚垚、陆荣荣
18,南通市60岁以上老年人新冠特异性抗体监测及感染相关影响因素分析△,戴垚垚、陆荣荣
19,2013—2017年江苏省南通市胆囊癌流行现状及生存分析,赵春燕、韩颖颖
20,2006—2020年江苏省...趋势的年龄-时期-队列分析_林玲,韩亚蓉、韩颖颖
21,2013—2017年江苏省南通市肝癌空间聚集性研究_韩亚蓉,韩亚蓉、韩颖颖
22,（一作）南通市中小学生脊柱侧弯现状及影响因素,任庆新
23,（一作）原花青素下调wnt_β-catenin通路拮抗砷诱导的人肝细胞L-02增殖,任庆新
24,（参编）江苏省学生常见病和健康影响因素监测报告2023,任庆新
25,（第五）2021—2022学年南通...小学教学与生活环境卫生现状_陈睿,任庆新
26,（第五）南通市中小学校卫生保健配置现况调查分析_安娜,任庆新
27,（第五）压力、焦虑与睡眠质量在中学...郁症状间的多重序列中介作用_朱星辰,任庆新
28,论文-某船舶制造企业接触噪声外包作业人员听力损失情况分析-2024,任彦霖
29,论文-职业卫生与病伤,任彦霖
30,2017—2019年南通市臭氧短期暴露对医院门诊量的影响,何智敏
31,2021 年南通市宾馆酒店健康危害因素监测结果,何智敏
32,Determination of 17 phthalate esters in water using GC–MS combined with magnetic solid phase extraction with Fe3O4,何智敏
33,long-term exposure to ambient fine particulate matter constituents and mortality from total and site-specific gastrointestinal cancer,何智敏
34,《江苏预防医学》杂志文章封面和目录及正文,何智敏
35,20 2008—2022年崇川区...似预防接种异常反应监测结果_顾红(1),侯晓燕
36,21 New insights on the association of weight loss with the reduction in carotid intima-media thickness among patients with obesity an updated systematic review and meta-analysis,侯晓燕
37,2012—2021年南通市梅毒发病趋势及流行特征分析_杨祝全,周小毅
38,2012—2021年南通市淋病流行特征分析_周小毅,周小毅
39,2013—2022年南通市丙型病毒性肝炎流行特征分析_周小毅,周小毅
40,2018—2020年南通市...务单位整治工作开展情况分析_鞠佩峰,周小毅
41,"The Impact of Customized Short Message Service on High-Risk Behaviors Among MSM in China, a Randomized Controlled Trial Study",周小毅
42,南通市HIV合并HBV感染...转录病毒疗效及影响因素分析_潘一茹,周小毅
43,老年人艾滋病干预研究进展_周小毅,周小毅
44,1. 统计源 医学动物防制 2024年发表 南通市食源性疾病影响因素的病例对照研究_孙华闽,孙华闽
45,2. 中文核心 中国食品卫生杂志2024年3期_4_H_66-74  2024年发表,孙华闽
46,3. SCI 2024年发表fpubh-1-1494511,孙华闽
47,统计源  医学动物防制 分散固相萃取-高效液相色谱法测定水果中克百威残留_郭新颖,孙华闽
48,统计源  医学动物防制 高效液相色谱荧光-光化学衍...体牛乳制品中黄曲霉毒素含量_郭新颖,孙华闽
49,统计源  职业与健康 2016—2021年南通市...染物及有害因素监测结果分析_谭维维,孙华闽
50,2ccd5745e80b352383adb1b5ef5766e,孙斌
51,ea58ac00455dedf032e01512bb9aa5d,孙斌
52,efaebe5a1ca5be7a413884a80824fff,孙斌
53,ffbc9a17ccc4451f4fc52f01baf252f,孙斌
54,南通市1例输入性登革热病例的调查处置_袁建明,孙斌
55,2020年南通市鼠类密度及病原体感染状况调查_孙斌,孙斌
56,2013－2020年江苏省南通市初治结核病患者成功治疗后复发情况及其影响因素分析,孙晴
57,孙晴--版面费与录用通知,孙晴
58,3、家庭结构和青少年心理健康与健康相关行为的关系-安娜通讯作者，核心期刊,安娜
59,4、南通市中小学生脊柱侧弯现状及影响因素（安娜通讯作者，核心期刊）,安娜
60,5、南通市中小学校卫生保健配置现况调查分析2023.3（安娜第一作者，统计源期刊）,安娜
61,6、2021—2022学年南通...小学教学与生活环境卫生现状（勘误版，安娜通讯作者）,安娜
62,7、压力、焦虑与睡眠质量在中学生户外活动与抑郁症状间的多重序列中介作用（心理月刊，安娜通讯作者）,安娜
63,8.南通市食源性疾病影响因素的病例对照研究_孙华闽（核心期刊）,安娜
64,Determination of 17 phthalate esters in water using GC–MS combined with magnetic solid phase extraction with Fe3O4 @GO ,平文卉
65,南通地区部分稻谷中铅、镉、铬及无机砷的污染状况分析_戴志英,平文卉
66,电感耦合等离子体质谱（IC...荷花苞中20种无机金属元素_杨娟,平文卉
67,砷离子印迹固相萃取技术在海...品中无机砷含量测定中的应用_周楠,平文卉
68,高效液相色谱-串联质谱法测定药食同源中药材中29种农药残留,平文卉
69,医防融合在慢性病中的运用及对卫生应急的启示（普刊--第一作者）,张吴宏
70,南通市2022—2023年流感H3N2亚型分子进化特征（普刊--第三作者）,张吴宏
71,流行性感冒的防治及流行病学研究进展（普刊--第一作者）(1),张吴宏
72,长新冠相关神经系统并发症和全身性炎症生物标志物的关联分析(急传科-鲍超)(1),张吴宏
73,2013—2020年江苏省...后复发情况及其影响因素分析_孙晴,张荣荣
74,2023基于多因素回归分析南通地区肺结核发病预测模型构建,张荣荣
75,2023高分辨率CT在职业性尘肺病诊断中的价值分析_张荣荣,张荣荣
76,viruses-16-00146,戴垚垚
77,南通市疾控机构卫生应急能力现状分析,戴垚垚
78,南通市疾控机构职工职业满意度和继续教育现状分析,戴垚垚
79,南通市社区人群新型冠状病毒感染血清学监测结果分析_陆荣荣(1),戴垚垚
80,精细化管理模式在疾病预防控制中心的应用效果研究,戴垚垚
81,2023年南通市非医疗放射机构辐射防护现状调查_黎源,曹亚强
82,acs.est.2c09361,曹亚强
83,不同诱导周期对人白色前脂肪细胞分化水平的影响研究_苗轲,曹亚强
84,不同诱导周期目录,曹亚强
85,环境内分泌干扰物调控过氧化...γ表达与转录激活的研究进展_曹亚强,曹亚强
86,论文-统计源-基于大数据与5G技术的传染病智能监测预警处置系统设计与应用,杨亚洲
87,2023.2张璐璐化学分析计量 非扩散性三光束冷原子吸收法直接测定大米中的汞 通讯,杨娟
88,2023.4共一yj-1ccl 姚勇,杨娟
89,2024.11杨娟中国食品添加剂电感耦合等离子体质谱（IC...荷花苞中20种无机金属元素,杨娟
90,2024.3谢超 化学工程师 两地无花果微量元素及总放射性物质分析与质量评估 通讯,杨娟
91,2024.5通大王锦 Microchimica Acta Ultrasensitive and specifc photoelectrochemical sensor for hydrogen,杨娟
92,2024.7共一杨占军J Chinese Chemical Soc - 2024 - Wang - Efficient electrochemical immunosensor for detection of bovine interferon,杨娟
93,一种基于过氧化物模拟酶活性快速检测过氧化氢的方法_程晓宏,杨娟
94,全自动石墨消解-ICP-M...法测定土壤中16种金属元素_于文斌,杨娟
95,分散固相萃取与GC-MS联...豆及速溶咖啡中糠醛类化合物_杨清华,杨娟
96,基于ICP-MS的食用菌微...和重金属的定量分析方法研究_何丰翼,杨娟
97,高效液相色谱-串联质谱法测...同源中药材中29种农药残留_平文卉,杨娟
98,一种受热均匀可清洗食品检测前处理用加热板2023,杨清华
99,中国分析化学-2024,杨清华
100,卫生检验学（分析化学）,杨清华
101,2010—2019年江苏省...因于吸烟的癌症死亡负担研究_徐红,楚楚
102,2013—2017年江苏省...市胆囊癌流行现状及生存分析_蔡娟,楚楚
103,南通市居民期望寿命差异分解研究_徐红,楚楚
104,1990—2019年江苏省...负担与吸烟归因疾病负担研究_楚楚,楚楚
105,2023 中国慢性病预防与控制,楚楚
106,南通市某木业制造公司噪声对工人听力和血脂的影响_王露露,楚楚
107,三氟甲磺酸甲酯致职业性急性...性呼吸系统疾病1例诊断分析-毛叶挺,毛叶挺
108,三氯乙烷致职业性化学性眼灼伤继发青光眼1例诊断分析,毛叶挺
109,分散固相萃取-高效液相色谱法测定水果中克百威残留_郭新颖,潘少聪
110,高效液相色谱荧光-光化学衍...体牛乳制品中黄曲霉毒素含量_郭新颖,潘少聪
111,1.年龄对如皋市农村居民营养健康知识水平的影响——江苏卫生保健——第一作者焦曼,焦曼
112,"2.Antibiotic exposure and risk of overweightobesity in children a biomonitoring-based study from eastern Jiangsu, China——第五作者焦曼",焦曼
113,2016—2021 年南通市食品中化学污染物及有害因素监测结果分析——职业与健康——第二作者焦曼,焦曼
114,2011—2022年南通市...吸系统疾病死亡率及变化趋势_茅鑫铃,王宇琦
115,1.+2023年江苏省研究生导师类产业教授（兼职）选聘名单,程晓宏
116,1、两地无花果微量元素及总放射性物质分析与质量评估,程晓宏
117,2、一种新型双酶体系快速检测葡萄糖的方法_王振涛,程晓宏
118,4、发表SCI文章 2023.09,程晓宏
119,4、饮用水中总 α 放射性、总 β 放射性检测的不确定度评定,程晓宏
120,5、一种基于过氧化物模拟酶活性快速检测过氧化氢的方法 带封面,程晓宏
121,1_南通市蜱类分布及大别班达病毒和立克次体携带情况调查_袁建明 (1),翟云鹏
122,南通市蜱类分布及大别班达病毒和立克次体携带情况调查-带封面目录_已压缩,苏婧
123,1.网络首发 2013—2017 年江苏省南通市胆囊癌流行现状及生存分析_蔡娟,蔡娟
124,24年发表 科核 南通户籍宫颈癌患者生存现状分析,蔡娟
125,2023新技术引进奖,虞莹
126,发明专利-2023-基于物联网的突发公共卫生事件应急指挥调度系统-发明证书,虞莹
127,科研-主持-立项文2023（218）-关于下达2023年度南通市自然科学基金和社会民生科技计划项目（指导性）的通知,虞莹
128,科研-参与1-MB2020045-科研课题合同书-虞莹（盖章4页）,虞莹
129,科研-参与2-市社会民生科技计划-指令性-孙怡华,虞莹
130,论文1-2023-通大学报-2021年南通市某养老机构...疫情中诺如病毒分子分型分析_陈璐,虞莹
131,论文2-2023-通大学报-精神分裂症合并NAFLD患者血清甲状腺激素水平与精神症状的相关性,虞莹
132,论文2-南通大学学报-医学第四期封面,虞莹
133,论文2-南通大学学报目录2023-4,虞莹
134,论文3-2023-医学信息学杂志-5期目录--6 (1),虞莹
135,论文4-2023-中华脏脏病杂志-虞莹(4),虞莹
136,论文4-9期内页6,虞莹
137,论文4-虞莹（中华封面）,虞莹
138,2023-论文-FR-共一-影响因子6.374,许海燕
139,2023-论文-JP-通讯 影响因子7.537,许海燕
140,2023-论文-SM-排名3,许海燕
141,2023-论文-SM-排名三-影响因子6.1,许海燕
142,2023-论文-副溶-南通大学学报-通讯,许海燕
143,2023-论文-副溶-排名3,许海燕
144,2023-论文-通讯-中国人兽共患病杂志,许海燕
145,2024-论文-SM-排名4,许海燕
146,2024-论文-江苏预防医学-通讯,许海燕
147,11. 2024年发表fpubh-1-1494511,谭维维
148,2016—2021年南通市...染物及有害因素监测结果分析_谭维维,谭维维
149,2017年—2022年南通市副溶血性弧菌污染状况分析_谭维维,谭维维
150,南通市食源性疾病影响因素的病例对照研究_孙华闽,谭维维
151,如皋市常住居民文化程度对营养健康知识知晓情况的影响_史湘铃,谭维维
152,独著20万字公共卫生信息资源管理和信息化规划,赵坚
153,南通市突发性公共卫生事件重点人群应检尽检系统的开发与应用（普刊通讯作者）,赵坚
154,论文合并(科技核心第一作者、中文核心共一作者、普刊第一作者各一篇),赵坚
155,南通市恶性肿瘤报告（2013-2017）,赵春燕
156,ZhaoCY-南通户籍宫颈癌患者生存现状分析,赵春燕
157,2021年南通市3～11岁...状病毒疫苗接种影响因素分析_金红梅,金红梅
158,南通市免疫规划人员工作满意度及影响因素调查_顾婷,金红梅
159,南通市预防接种沟通和服务能...培训的满意度调查与效果评价_顾婷,金红梅
160,药食同源中药材中多环芳烃的污染溯源与风险评估,陈峰
161,血中铬的酸脱蛋白-三磁场塞曼效应原子吸收光谱测定法,陈峰
162,钛-变色酸络合物比色法测定防晒霜中的二氧化钛,陈峰
163,高效液相色谱法测定川贝母和川贝粉中三嗪代谢物残留 (4),陈峰
164,2021-2022学年南通市中小学校教学与生活环境卫生现状,陈睿
165,2020—2022年南通市...口病病原分型及流行特征分析_李莉,陈诗瑶
166,南通市2022—2023年...感H3N2亚型分子进化特征_陈璐,陈诗瑶
167,南通市肿瘤医院2002—2017年胃癌患者生存分析,陈铭睿
168,74a95116fb269e619a8e659202ea497,陈铭睿
169,e71233c9a854d111db995c8582d4380,陈铭睿
170,论文-A dynamic nomogram for predicting survival among diabetic patients on maintenance hemodialysis,陈颖
171,19902019年江苏省人群伤害疾病负担及其变化特征,韩颖颖
172,2009-2019年江苏省肿瘤等级地区女性乳腺癌发病趋势及年龄变化分析,韩颖颖
173,Predictive value of lactate dehydrogenase combined with the abbreviated burn severity index for acute kidney injury and mortality in severe burn patients,韩颖颖
174,20132020年江苏省南通地区食管癌发病与死亡趋势及空间聚集性分析,韩颖颖
175,2020年江苏省南通市白血病流行特征及20132020年变化趋势分析,韩颖颖
