work_id,author_id,author_rank,is_corresponding,std_points
W0001,胡迪,1,0,1
W0001,陈海珍,2,0,1
W0001,陈建国,3,0,1
W0001,徐红,4,0,1
W0001,吴冬梅,5,0,1
W0002,姚珅,1,0,1
W0002,马啸,2,0,1
W0003,陈铭睿,1,0,1
W0003,韩颖颖,2,0,1
W0003,林玲,3,0,1
W0003,段洋洋,4,0,1
W0003,刘海峰,5,0,1
W0003,刘韵,6,0,1
W0003,蔡波,7,0,1
W0003,徐红,8,0,1
W0003,李鑫林,9,0,1
W0004,杨亚洲,1,0,1
W0004,郑石林,2,0,1
W0004,周小毅,3,0,1
W0004,章施静,4,0,1
W0004,赵坚,5,0,1
W0005,孙华闽,1,0,1
W0005,黄建萍,2,0,1
W0005,张卫兵,3,0,1
W0005,朱星辰,4,0,1
W0005,焦曼,5,0,1
W0005,谭维维,6,0,1
W0006,刘海琴,1,0,1
W0006,沙磊,2,0,1
W0007,任庆新,1,0,1
W0007,黄建萍,2,0,1
W0007,吴越,3,0,1
W0007,吴一,4,0,1
W0007,尹禧,5,0,1
W0007,陈睿,6,0,1
W0007,朱星辰,7,0,1
W0007,安娜,8,0,1
W0008,仇倩颖,1,0,1
W0008,施逸岚,2,0,1
W0008,王金鑫,3,0,1
W0008,杨清华,4,0,1
W0008,何智敏,5,0,1
W0009,叶青华,1,0,1
W0009,侯沙沙,2,0,1
W0010,袁林,1,0,1
W0010,陈志肖,2,0,1
W0010,王彧超,3,0,1
W0010,李莉,4,0,1
W0010,严炳清,5,0,1
W0011,蒋正东,1,0,1
W0011,钟恩德,2,0,1
W0011,侯沙沙,3,0,1
W0011,黎源,4,0,1
W0011,何智敏,5,0,1
W0011,许兹宁,6,0,1
W0012,周明月,1,0,1
W0012,季颖,2,0,1
W0012,刘毛毛,3,0,1
W0012,倪杰,4,0,1
W0012,张之海,5,0,1
W0013,杨飞童,1,0,1
W0014,季佳,1,0,1
W0014,姜丽丽,2,0,1
W0014,葛赟,3,0,1
W0015,陈颖,1,0,1
W0015,杨泽云,2,0,1
W0015,周萍,3,0,1
W0015,杨建军,4,0,1
W0015,周志文,5,0,1
W0015,任彦霖,6,0,1
W0015,严丛晖,7,0,1
W0015,陆春花,8,0,1
W0015,朱晓俊,9,0,1
W0016,段伟平,1,0,1
W0016,练维,2,0,1
W0016,孙华闽,3,0,1
W0016,安鹏飞,4,0,1
W0016,陆娟,5,0,1
W0017,黄海忠,1,0,1
W0017,陆新华,2,0,1
W0017,吴葳,3,0,1
W0017,韩亚蓉,4,0,1
W0018,黄若谷,1,0,1
W0018,李媛,2,0,1
W0018,陈宇洁,3,0,1
W0018,翟云鹏,4,0,1
W0018,袁建明,5,0,1
W0019,平文卉,1,0,1
W0019,张萍,2,0,1
W0019,张茹月,3,0,1
W0019,程钰兰,4,0,1
W0019,程晓宏,5,0,1
W0020,张吴宏,1,0,1
W0020,魏叶,2,0,1
W0020,刘珍珍,3,0,1
W0020,赵恩慧,4,0,1
W0020,鲍超,5,0,1
W0020,戴垚垚,6,0,1
W0021,吴琼,1,0,1
W0021,洪友梅,2,0,1
W0021,黄捷,3,0,1
W0021,许金华,4,0,1
W0022,陈铭睿,1,0,1
W0022,林玲,2,0,1
W0022,楚楚,3,0,1
W0022,黄捷,4,0,1
W0022,韩亚蓉,5,0,1
W0022,蔡波,6,0,1
W0022,韩颖颖,7,0,1
W0023,张璐璐,1,0,1
W0023,平文卉,2,0,1
W0023,陈峰,3,0,1
W0023,于文斌,4,0,1
W0023,张颖茜,5,0,1
W0024,段伟平,1,0,1
